frame_id,session,height_cm,split,img_path,depth_path,teacher_path,has_object,n_object,light,n_kpt_visible
20260715_085238_120_000000,20260715_085238_120,120,train,new_ds/train\20260715_085238_120_000000.png,new_ds/Depth\20260715_085238_120_000000.npy,new_ds/Teacher\20260715_085238_120_000000.npy,0,0,No-Light,0
20260715_085238_120_000001,20260715_085238_120,120,train,new_ds/train\20260715_085238_120_000001.png,new_ds/Depth\20260715_085238_120_000001.npy,new_ds/Teacher\20260715_085238_120_000001.npy,0,0,No-Light,0
20260715_085238_120_000002,20260715_085238_120,120,train,new_ds/train\20260715_085238_120_000002.png,new_ds/Depth\20260715_085238_120_000002.npy,new_ds/Teacher\20260715_085238_120_000002.npy,1,1,No-Light,4
20260715_085238_120_000003,20260715_085238_120,120,train,new_ds/train\20260715_085238_120_000003.png,new_ds/Depth\20260715_085238_120_000003.npy,new_ds/Teacher\20260715_085238_120_000003.npy,1,1,No-Light,4
20260715_085238_120_000004,20260715_085238_120,120,train,new_ds/train\20260715_085238_120_000004.png,new_ds/Depth\20260715_085238_120_000004.npy,new_ds/Teacher\20260715_085238_120_000004.npy,1,1,No-Light,4
20260715_085238_120_000005,20260715_085238_120,120,train,new_ds/train\20260715_085238_120_000005.png,new_ds/Depth\20260715_085238_120_000005.npy,new_ds/Teacher\20260715_085238_120_000005.npy,1,2,No-Light,8
20260715_085238_120_000006,20260715_085238_120,120,train,new_ds/train\20260715_085238_120_000006.png,new_ds/Depth\20260715_085238_120_000006.npy,new_ds/Teacher\20260715_085238_120_000006.npy,1,2,No-Light,8
20260715_085238_120_000007,20260715_085238_120,120,train,new_ds/train\20260715_085238_120_000007.png,new_ds/Depth\20260715_085238_120_000007.npy,new_ds/Teacher\20260715_085238_120_000007.npy,1,1,No-Light,4
20260715_085238_120_000008,20260715_085238_120,120,train,new_ds/train\20260715_085238_120_000008.png,new_ds/Depth\20260715_085238_120_000008.npy,new_ds/Teacher\20260715_085238_120_000008.npy,1,1,No-Light,4
20260715_085238_120_000009,20260715_085238_120,120,train,new_ds/train\20260715_085238_120_000009.png,new_ds/Depth\20260715_085238_120_000009.npy,new_ds/Teacher\20260715_085238_120_000009.npy,1,1,No-Light,4
20260715_085238_120_000010,20260715_085238_120,120,train,new_ds/train\20260715_085238_120_000010.png,new_ds/Depth\20260715_085238_120_000010.npy,new_ds/Teacher\20260715_085238_120_000010.npy,0,0,No-Light,0
20260715_085238_120_000011,20260715_085238_120,120,train,new_ds/train\20260715_085238_120_000011.png,new_ds/Depth\20260715_085238_120_000011.npy,new_ds/Teacher\20260715_085238_120_000011.npy,0,0,No-Light,0
20260715_085238_120_000012,20260715_085238_120,120,train,new_ds/train\20260715_085238_120_000012.png,new_ds/Depth\20260715_085238_120_000012.npy,new_ds/Teacher\20260715_085238_120_000012.npy,0,0,No-Light,0
20260715_085238_120_000013,20260715_085238_120,120,train,new_ds/train\20260715_085238_120_000013.png,new_ds/Depth\20260715_085238_120_000013.npy,new_ds/Teacher\20260715_085238_120_000013.npy,0,0,No-Light,0
20260715_085238_120_000014,20260715_085238_120,120,train,new_ds/train\20260715_085238_120_000014.png,new_ds/Depth\20260715_085238_120_000014.npy,new_ds/Teacher\20260715_085238_120_000014.npy,0,0,No-Light,0
20260715_085238_120_000015,20260715_085238_120,120,train,new_ds/train\20260715_085238_120_000015.png,new_ds/Depth\20260715_085238_120_000015.npy,new_ds/Teacher\20260715_085238_120_000015.npy,0,0,No-Light,0
20260715_085238_120_000016,20260715_085238_120,120,train,new_ds/train\20260715_085238_120_000016.png,new_ds/Depth\20260715_085238_120_000016.npy,new_ds/Teacher\20260715_085238_120_000016.npy,0,0,No-Light,0
20260715_085238_120_000017,20260715_085238_120,120,train,new_ds/train\20260715_085238_120_000017.png,new_ds/Depth\20260715_085238_120_000017.npy,new_ds/Teacher\20260715_085238_120_000017.npy,0,0,No-Light,0
20260715_085311_130_000000,20260715_085311_130,130,train,new_ds/train\20260715_085311_130_000000.png,new_ds/Depth\20260715_085311_130_000000.npy,new_ds/Teacher\20260715_085311_130_000000.npy,0,0,No-Light,0
20260715_085311_130_000001,20260715_085311_130,130,train,new_ds/train\20260715_085311_130_000001.png,new_ds/Depth\20260715_085311_130_000001.npy,new_ds/Teacher\20260715_085311_130_000001.npy,0,0,No-Light,0
20260715_085311_130_000002,20260715_085311_130,130,train,new_ds/train\20260715_085311_130_000002.png,new_ds/Depth\20260715_085311_130_000002.npy,new_ds/Teacher\20260715_085311_130_000002.npy,0,0,No-Light,0
20260715_085311_130_000003,20260715_085311_130,130,train,new_ds/train\20260715_085311_130_000003.png,new_ds/Depth\20260715_085311_130_000003.npy,new_ds/Teacher\20260715_085311_130_000003.npy,1,1,No-Light,4
20260715_085311_130_000004,20260715_085311_130,130,train,new_ds/train\20260715_085311_130_000004.png,new_ds/Depth\20260715_085311_130_000004.npy,new_ds/Teacher\20260715_085311_130_000004.npy,1,1,No-Light,4
20260715_085311_130_000005,20260715_085311_130,130,train,new_ds/train\20260715_085311_130_000005.png,new_ds/Depth\20260715_085311_130_000005.npy,new_ds/Teacher\20260715_085311_130_000005.npy,1,1,No-Light,4
20260715_085311_130_000006,20260715_085311_130,130,train,new_ds/train\20260715_085311_130_000006.png,new_ds/Depth\20260715_085311_130_000006.npy,new_ds/Teacher\20260715_085311_130_000006.npy,1,2,No-Light,8
20260715_085311_130_000007,20260715_085311_130,130,train,new_ds/train\20260715_085311_130_000007.png,new_ds/Depth\20260715_085311_130_000007.npy,new_ds/Teacher\20260715_085311_130_000007.npy,1,2,No-Light,8
