epoch,loss_total,depth,depth_gt,depth_teacher,obj,bbox,bbox_l1,bbox_ciou,iou,kpt,light,height,lr,det_active,geo_active
0,17.72149169921875,17.72149169921875,17.72149169921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015163533538683572,0,0
1,16.487178993225097,16.487178993225097,16.487178993225097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024515134926256796,0,0
2,15.53284511566162,15.53284511566162,15.53284511566162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003964391382063658,0,0
3,14.950449409484863,14.950449409484863,14.950449409484863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000598851424519382,0,0
4,14.501054763793945,14.501054763793945,14.501054763793945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000843494624085049,0,0
5,18.512719192504882,14.272881736755371,14.272881736755371,0.0,0.3981324952840805,1.0894940686225891,0.1954224729537964,0.8940716004371643,0.19358098298311233,0.23221843957901,0.40434148013591764,1.1867770218849183,0.0011196196123639665,1,0
6,16.681707649230958,13.972500457763672,13.972500457763672,0.0,0.23599675297737122,0.9918303990364075,0.17815352618694305,0.813676872253418,0.25119992196559904,0.20227039098739624,0.2798266112804413,0.19020149409770964,0.001415094019060454,1,0
7,16.307044792175294,13.875770874023438,13.875770874023438,0.0,0.1985831928253174,0.9682760524749756,0.16867533266544343,0.7996007108688354,0.2669844341278076,0.18872244656085968,0.17561358198523522,0.1451888531446457,0.0017169352997938598,1,0
8,15.968390045166016,13.72579662322998,13.72579662322998,0.0,0.16846900463104247,0.9666233468055725,0.1627861100435257,0.8038372278213501,0.2583738231658936,0.16925928235054016,0.12280972048640251,0.13839505910873412,0.002011881162689748,1,0
9,15.762017555236817,13.617836303710938,13.617836303710938,0.0,0.14155951857566834,0.9593340110778809,0.15082377314567566,0.8085102391242981,0.2563548518717289,0.14612625181674957,0.09814075827598571,0.21451561093330385,0.0022869722865069097,1,0
10,15.36930377960205,13.259630088806153,13.259630088806153,0.0,0.12162634164094925,0.9527850174903869,0.15499276757240296,0.7977922630310058,0.2556708335876465,0.13127353370189668,0.08552652932703494,0.29336816668510435,0.0025301217268510422,1,0
11,15.338066024780273,13.387735824584961,13.387735824584961,0.0,0.11678996831178665,0.8852002763748169,0.1386193037033081,0.7465809798240661,0.31020476639270783,0.11812831073999405,0.07889581423252821,0.27880261778831483,0.0027306459919243567,1,0
12,15.126531105041504,13.19073787689209,13.19073787689209,0.0,0.11341773957014084,0.9096387982368469,0.13437890112400055,0.7752599000930787,0.2722265966236591,0.10596858292818069,0.08099799543619156,0.3018956059217453,0.0028797344534229738,1,0
13,14.938170890808106,13.0980216217041,13.0980216217041,0.0,0.10730609685182571,0.9055991172790527,0.13751851320266723,0.7680806064605713,0.27644375860691073,0.10836240768432617,0.07814377188682556,0.20728817224502563,0.0029708364676221495,1,0
14,14.733502998352051,12.958204231262208,12.958204231262208,0.0,0.10206892400979996,0.8921252632141113,0.1337985223531723,0.7583267402648926,0.2857939451932907,0.10084365099668503,0.06373502439819276,0.21315107345581055,0.0029999903318651553,1,0
15,14.464840202331542,12.675349845886231,12.675349845886231,0.0,0.09178637534379959,0.8754091048240662,0.11899900019168853,0.7564101028442383,0.2850088456273079,0.09907111197710038,0.06115049069747329,0.2657886266708374,0.0029934690785684316,1,0
16,14.11966396331787,12.527474403381348,12.527474403381348,0.0,0.0867130321264267,0.8570435857772827,0.11087076485157013,0.7461728239059449,0.2962284395098686,0.08899627923965454,0.037351629454642536,0.16609982252120972,0.0029749233387051446,1,0
17,14.425724143981933,12.699866790771484,12.699866790771484,0.0,0.08164302125573158,0.8504599070549012,0.11416867524385452,0.7362912321090698,0.30722866356372835,0.0796565541625023,0.051833057885523885,0.3436384403705597,0.0029445024316679547,1,0
18,13.822170143127442,12.292082862854004,12.292082862854004,0.0,0.0807941061258316,0.808818781375885,0.10048613458871841,0.7083326387405395,0.33226523458957674,0.08173972249031067,0.026189025267958643,0.20558650732040407,0.002902451288713122,1,0
19,13.614663047790527,12.118683547973633,12.118683547973633,0.0,0.07519190698862076,0.8005354022979736,0.09738397598266602,0.7031514286994934,0.33328660190105436,0.07676980495452881,0.03739710357505828,0.19900626003742217,0.002849108480918047,1,0
20,13.393392448425294,11.867200889587401,11.867200889587401,0.0,0.06954535037279129,0.7941527128219604,0.09500728785991669,0.6991454267501831,0.3384791159629822,0.07966322749853134,0.023699110890738666,0.24047814548015595,0.002784903493206032,1,0
21,12.897019424438476,11.562368965148925,11.562368965148925,0.0,0.05630778476595879,0.7437730860710144,0.08392784520983695,0.6598452496528625,0.37278448343276976,0.06978034064173698,0.019019271419383584,0.16664851546287537,0.0027103532663862143,1,0
22,12.811942710876465,11.477024154663086,11.477024154663086,0.0,0.05297069035470486,0.7509088706970215,0.08890187799930573,0.6620069885253906,0.3740963387489319,0.07012674763798714,0.018700616233982146,0.16170454084873198,0.002626058035050122,1,0
23,12.745996513366698,11.448392791748047,11.448392791748047,0.0,0.04610819786787033,0.7437797546386719,0.08019799247384071,0.6635817646980285,0.371640567779541,0.06465504080057144,0.012540635517798365,0.17189990758895873,0.0025326964948356808,1,0
24,12.502106285095214,11.19536594390869,11.19536594390869,0.0,0.039805280491709706,0.756050455570221,0.08138843178749085,0.6746620297431946,0.3605725049972534,0.06030887320637703,0.009453098196536303,0.19988707959651947,0.0024310203379690003,1,0
25,12.241923866271973,11.03895896911621,11.03895896911621,0.0,0.03276031263172627,0.7260028862953186,0.0760827511548996,0.6499201285839081,0.3855548882484436,0.05851625382900238,0.008007793496362865,0.14361269891262055,0.0023218482010805585,1,0
26,12.221257820129395,10.976532707214355,10.976532707214355,0.0,0.03409067064523697,0.7152338516712189,0.08453538224101066,0.6306984698772431,0.3994843089580536,0.058253089487552645,0.011640383850317449,0.19249484717845916,0.0022060590740244058,1,0
27,12.012420387268067,10.82225383758545,10.82225383758545,0.0,0.032325994968414304,0.6957266807556153,0.07694688439369202,0.6187797999382019,0.41064833879470825,0.05579897329211235,0.009776508719660341,0.1733425313234329,0.0020845852227686927,1,0
28,11.739109725952149,10.539598999023438,10.539598999023438,0.0,0.022639168687164785,0.6953343558311462,0.06910209491848945,0.6262322664260864,0.4035507309436798,0.05146729186177254,0.007149817645549774,0.2170509773492813,0.0019584046833382622,1,0
29,11.561875267028809,10.46832592010498,10.46832592010498,0.0,0.02298994854092598,0.6853997731208801,0.07039597675204277,0.6150037956237793,0.41272096037864686,0.051291494220495226,0.011031823065131903,0.11767050325870514,0.0018285333872436532,1,0
30,11.587110023498536,10.544490013122559,10.544490013122559,0.0,0.020519439615309238,0.6450115549564361,0.06175272673368454,0.5832588291168213,0.44304035186767576,0.04781330943107605,0.006250383970327675,0.1317719852924347,0.0016960169817979342,1,0
